net,length_um
_08190_,66.16
_06408_,66.14
_06944_,66.12
_07262_,66.1
_02498_,66.08
_09416_,66.06
irq_mask\[12\],66.05
_08594_,66.02
_02209_,66
_10752_,66
_03270_,65.99
_06395_,65.99
clknet_leaf_181_clk,65.94
reg_pc\[18\],65.9
_05280_,65.88
_08646_,65.86
_13098_,65.86
_04706_,65.84
clknet_leaf_120_clk,65.84
_06297_,65.82
_04120_,65.79
_07592_,65.74
clknet_leaf_87_clk,65.72
_12469_,65.68
_06338_,65.66
_03708_,65.64
_12088_,65.6
reg_next_pc\[3\],65.595
_10776_,65.54
_07571_,65.48
_03054_,65.46
mem_rdata_q\[5\],65.4
_12143_,65.38
_12133_,65.36
_06406_,65.32
_14170_,65.31
_10227_,65.3
_07721_,65.28
_01771_,65.24
_05010_,65.24
genblk1.pcpi_mul.rs2\[11\],65.22
net342,65.21
_03246_,65.2
clknet_leaf_170_clk,65.125
_00638_,65.12
_01758_,65.12
clknet_leaf_123_clk,65.09
_08588_,65.08
genblk1.pcpi_mul.rs2\[14\],65.06
_04109_,65.04
_03435_,65
_08458_,64.98
_13756_,64.98
_04782_,64.88
_05106_,64.86
_09553_,64.86
_12564_,64.82
_03820_,64.74
irq_mask\[9\],64.73
_03060_,64.72
_08139_,64.72
_07396_,64.7
clknet_leaf_119_clk,64.7
_02462_,64.68
_14124_,64.68
decoded_imm_uj\[20\],64.68
_06993_,64.64
irq_mask\[5\],64.64
clknet_leaf_161_clk,64.64
mem_rdata_q\[12\],64.59
_01781_,64.56
_06227_,64.54
_02479_,64.52
clknet_leaf_122_clk,64.52
_02564_,64.46
_02597_,64.46
_14422_,64.44
irq_mask\[10\],64.44
_12691_,64.435
_02240_,64.42
_08151_,64.4
_10347_,64.38
_03414_,64.34
instr_rdinstrh,64.32
_04962_,64.3
_09230_,64.3
reg_next_pc\[6\],64.27
_01169_,64.245
_01905_,64.24
_05338_,64.2
_06387_,64.2
_07489_,64.2
_07383_,64.18
_11187_,64.16
_03922_,64.1
_02613_,64.02
_11286_,64.02
clknet_leaf_212_clk,64.02
_10278_,63.925
clknet_leaf_200_clk,63.9
_07785_,63.88
_11496_,63.88
_07199_,63.85
clknet_leaf_186_clk,63.84
_01876_,63.72
_08683_,63.68
_12286_,63.64
_10281_,63.63
_07330_,63.6
decoder_pseudo_trigger,63.58
_14304_,63.52
_06107_,63.5
_10064_,63.46
_12421_,63.46
_02483_,63.44
_02880_,63.44
_10897_,63.44
_13037_,63.44
_02458_,63.435
_04978_,63.42
_06123_,63.4
count_cycle\[30\],63.4
_04804_,63.38
_07829_,63.38
_13724_,63.34
_10540_,63.3
_13130_,63.26
_05293_,63.16
_01588_,63.14
_08430_,63.14
_02656_,63.1
_07403_,63.08
_03714_,63.06
_02710_,63.04
_14241_,63
_12560_,62.96
irq_mask\[8\],62.96
count_cycle\[13\],62.94
cpuregs\[6\]\[0\],62.92
_14316_,62.88
_04090_,62.845
_01715_,62.84
_08809_,62.84
_04697_,62.805
_11115_,62.8
_11306_,62.78
_12439_,62.74
_01910_,62.72
genblk1.pcpi_mul.rs2\[9\],62.72
count_cycle\[17\],62.54
_02532_,62.5
_04926_,62.46
_14644_,62.44
_14575_,62.385
_02149_,62.38
_07508_,62.34
_02730_,62.28
_04770_,62.24
clknet_leaf_32_clk,62.2
_00640_,62.185
_01725_,62.18
_07757_,62.18
_03310_,62.16
_02371_,62.14
_05649_,62.14
_12853_,62.14
genblk1.pcpi_mul.rs2\[26\],62.1
_08870_,62.08
clknet_leaf_104_clk,62.08
_05287_,62.04
_14518_,62.02
_05234_,62
_06737_,62
_10745_,62
_06812_,61.84
_07164_,61.84
_08429_,61.82
_02098_,61.8
_13408_,61.8
_01994_,61.7
_02070_,61.66
_01589_,61.64
_02116_,61.64
_03410_,61.64
_07750_,61.64
_08337_,61.64
_09335_,61.62
_05092_,61.6
_09482_,61.545
_04741_,61.54
_02056_,61.48
_04879_,61.415
_06391_,61.4
alu_shr\[7\],61.4
_07593_,61.38
_13876_,61.35
_05098_,61.345
_11733_,61.32
clknet_leaf_132_clk,61.32
clknet_leaf_185_clk,61.32
_11905_,61.31
clknet_leaf_224_clk,61.28
clknet_leaf_171_clk,61.26
_03502_,61.24
_12107_,61.22
net373,61.145
_07602_,61.12
_01865_,61.07
_02176_,61
_04913_,61
_06076_,61
_02630_,60.98
_06899_,60.98
_04158_,60.96
clknet_leaf_66_clk,60.94
_02786_,60.88
_08797_,60.88
_10107_,60.87
_00616_,60.845
_07244_,60.84
_10111_,60.82
_02228_,60.76
_05952_,60.76
count_cycle\[54\],60.74
_12328_,60.72
genblk1.pcpi_mul.rs1\[31\],60.7
clknet_leaf_150_clk,60.7
_08823_,60.66
_09259_,60.66
instr_ecall_ebreak,60.62
_09302_,60.6
_13065_,60.6
_05551_,60.59
_12220_,60.56
_12753_,60.54
count_cycle\[58\],60.5
net213,60.48
_00881_,60.465
_08808_,60.44
is_beq_bne_blt_bge_bltu_bgeu,60.44
_04882_,60.38
_09003_,60.33
count_instr\[48\],60.29
_04695_,60.285
_11352_,60.26
_12861_,60.24
_10055_,60.22
_12630_,60.22
clknet_leaf_151_clk,60.2
_04191_,60.16
_09417_,60.14
_12552_,60.12
_07832_,60.1
cpuregs\[13\]\[13\],60.1
clknet_leaf_113_clk,60.1
clknet_leaf_138_clk,60.1
_02935_,60.07
cpuregs\[19\]\[4\],60.04
_08465_,59.96
net171,59.96
_01762_,59.92
_01987_,59.88
_09703_,59.86
_12883_,59.84
_14131_,59.84
_13856_,59.82
_04015_,59.8
_02255_,59.78
_05311_,59.75
count_instr\[1\],59.74
timer\[4\],59.73
_06079_,59.72
_04924_,59.66
_10823_,59.66
_08944_,59.64
reg_next_pc\[5\],59.64
_04932_,59.62
_07517_,59.56
_14055_,59.56
count_cycle\[36\],59.55
_09360_,59.54
net215,59.54
_08287_,59.5
_04733_,59.44
_08742_,59.44
_08682_,59.42
clknet_leaf_157_clk,59.42
_02767_,59.4
_09953_,59.4
_11381_,59.4
clknet_leaf_49_clk,59.4
_12419_,59.38
_12898_,59.35
_05053_,59.335
_08441_,59.325
_04322_,59.32
_12756_,59.32
_02930_,59.26
_08152_,59.24
_14156_,59.24
_04698_,59.2
_13660_,59.16
_12935_,59.155
_07509_,59.12
_01536_,59.06
clknet_leaf_207_clk,59.04
_02518_,59.02
_06336_,59.01
_09865_,58.98
_11196_,58.98
_08754_,58.96
_09582_,58.94
_04918_,58.92
_08222_,58.92
clknet_leaf_166_clk,58.9
cpu_state\[1\],58.85
_04817_,58.82
_09375_,58.8
_06372_,58.78
_12887_,58.72
_13640_,58.7
_09575_,58.66
_07985_,58.64
_09822_,58.64
_04270_,58.62
_06466_,58.62
_07174_,58.6
clknet_leaf_101_clk,58.6
_09074_,58.56
cpuregs\[12\]\[3\],58.56
_08426_,58.52
_13476_,58.52
count_cycle\[60\],58.52
_13500_,58.46
_02425_,58.44
_04810_,58.44
alu_shl\[27\],58.42
_09232_,58.38
_12522_,58.32
_13421_,58.3
instr_auipc,58.3
_03376_,58.28
alu_shr\[2\],58.26
_10325_,58.21
clknet_leaf_45_clk,58.18
_14024_,58.16
clknet_leaf_24_clk,58.14
clknet_leaf_184_clk,58.14
_13093_,58.1
_07227_,58.06
_12211_,58.04
_02760_,58.035
instr_slli,58.02
_11677_,58
_12106_,58
count_instr\[44\],58
genblk1.pcpi_mul.rs2\[3\],58
_02238_,57.98
_07419_,57.96
_13742_,57.94
_03412_,57.9
_11153_,57.86
_11542_,57.82
_09376_,57.78
_07511_,57.74
_02665_,57.66
_04979_,57.62
_11180_,57.58
_14578_,57.545
_14396_,57.52
_07982_,57.5
_12764_,57.5
_08028_,57.46
_03434_,57.44
_10980_,57.42
_11374_,57.42
_13385_,57.42
_06572_,57.4
_10268_,57.4
_02218_,57.37
_02395_,57.36
_03539_,57.36
_13958_,57.34
_05765_,57.32
_02298_,57.315
_08664_,57.3
_14495_,57.28
_12523_,57.26
_03727_,57.24
_04842_,57.225
_02978_,57.1
_05843_,57.1
cpuregs\[19\]\[22\],57.08
cpuregs\[19\]\[18\],57.06
reg_out\[26\],57.06
count_instr\[6\],57.04
_07870_,57.015
_07374_,57
_07816_,56.96
_07912_,56.94
_09064_,56.92
_09806_,56.9
_13348_,56.89
count_instr\[50\],56.88
_02351_,56.84
_04745_,56.8
_08773_,56.77
_04922_,56.765
_08157_,56.76
_08179_,56.76
_02106_,56.74
count_instr\[53\],56.73
_11982_,56.68
_03179_,56.66
_03594_,56.66
clknet_leaf_44_clk,56.66
_11483_,56.64
_13789_,56.64
_02386_,56.58
alu_shr\[5\],56.52
_06603_,56.48
_07150_,56.48
_09047_,56.44
_09784_,56.385
reg_pc\[16\],56.36
_06348_,56.34
_11544_,56.34
_13227_,56.34
cpuregs\[13\]\[29\],56.34
_03484_,56.3
_04771_,56.29
_12386_,56.28
_07142_,56.26
_07768_,56.26
_13770_,56.26
_03073_,56.24
clknet_leaf_167_clk,56.2
_01636_,56.18
alu_shl\[30\],56.18
is_lui_auipc_jal,56.18
_13489_,56.16
instr_lw,56.16
_04094_,56.115
_08477_,56.11
_08755_,56.1
_03164_,56.08
_01560_,56.06
clknet_leaf_91_clk,56.04
_03152_,56
mem_rdata_q\[14\],56
_07575_,55.98
net169,55.98
clknet_leaf_81_clk,55.96
_02895_,55.92
count_cycle\[47\],55.92
_11000_,55.9
_11298_,55.78
_14500_,55.76
clknet_leaf_112_clk,55.76
_07935_,55.74
_04919_,55.72
_14244_,55.7
clknet_leaf_43_clk,55.66
_04107_,55.6
_08733_,55.6
genblk1.pcpi_mul.rs1\[28\],55.6
_13059_,55.59
_01804_,55.56
alu_out\[9\],55.545
_13141_,55.52
reg_out\[6\],55.5
_02847_,55.48
_11250_,55.48
_02882_,55.46
_10701_,55.44
_13714_,55.4
_14621_,55.4
_04761_,55.36
_12901_,55.34
_01069_,55.32
_06592_,55.32
_05062_,55.26
_11002_,55.26
count_cycle\[23\],55.24
_01722_,55.22
_06951_,55.22
_11308_,55.22
_11149_,55.215
timer\[30\],55.2
_14524_,55.18
_02024_,55.14
_03448_,55.02
cpuregs\[19\]\[5\],55.02
_08371_,55.01
_02944_,55
count_cycle\[38\],55
_04825_,54.98
_03114_,54.88
_12296_,54.88
_08644_,54.84
_07108_,54.78
_06971_,54.77
_13758_,54.76
_12855_,54.74
_03537_,54.7
_02245_,54.6
_04834_,54.6
_08302_,54.5
_09100_,54.5
_09875_,54.5
_12910_,54.49
count_instr\[4\],54.48
clknet_leaf_77_clk,54.46
_13245_,54.44
_13899_,54.42
_09327_,54.38
_12266_,54.32
_13066_,54.32
_11309_,54.315
_05259_,54.3
_05956_,54.3
_09952_,54.3
_06073_,54.22
_09808_,54.18
_13042_,54.18
_10101_,54.12
_08185_,54.08
_13409_,54
_11670_,53.98
_09887_,53.96
_08035_,53.92
_03243_,53.86
_02362_,53.84
_13850_,53.84
_13041_,53.78
_12170_,53.76
_04458_,53.7
_11518_,53.69
_02256_,53.68
_09298_,53.66
_14345_,53.66
_13454_,53.64
_10828_,53.605
_04814_,53.52
_10272_,53.42
_13957_,53.42
_08937_,53.385
_11846_,53.38
_10880_,53.36
mem_rdata_q\[4\],53.35
_00628_,53.325
_10838_,53.3
_12884_,53.28
_13089_,53.26
_10903_,53.24
_02404_,53.18
_04849_,53.18
_02212_,53.175
_08938_,53.125
_05078_,53.095
_13101_,53.08
_03407_,53.06
_14285_,53.06
_05250_,53.02
count_instr\[59\],53.02
_12096_,53.01
_07451_,53
_05210_,52.995
_09741_,52.96
_09284_,52.94
_04793_,52.9
_05738_,52.9
_07807_,52.88
_05072_,52.87
net168,52.84
_03035_,52.82
_14580_,52.805
_07061_,52.8
_08219_,52.78
_09562_,52.76
count_instr\[26\],52.76
_05009_,52.75
_07791_,52.745
_07518_,52.74
_11669_,52.74
_11466_,52.73
_01887_,52.72
_13900_,52.7
alu_shl\[6\],52.7
_12194_,52.68
_05000_,52.66
_06988_,52.65
_11688_,52.64
_03607_,52.62
_06919_,52.62
_13218_,52.56
_06680_,52.52
instr_ori,52.52
_12607_,52.5
_12097_,52.495
_04323_,52.46
_12418_,52.46
_13528_,52.46
_11615_,52.44
_01712_,52.42
_03168_,52.4
_05510_,52.395
_07480_,52.36
_02123_,52.32
_11520_,52.32
_04194_,52.3
_09429_,52.26
_09889_,52.26
reg_out\[19\],52.22
net310,52.18
_02072_,52.12
clknet_leaf_39_clk,52.08
_13102_,52.06
clknet_leaf_2_clk,52.06
_03747_,52.04
_05955_,52.04
clknet_leaf_153_clk,52
_03292_,51.98
count_instr\[31\],51.98
_09207_,51.965
_12701_,51.96
genblk1.pcpi_mul.rs1\[5\],51.96
_07062_,51.92
_13062_,51.9
_07780_,51.86
_12502_,51.82
clknet_leaf_213_clk,51.82
_08899_,51.745
_13441_,51.7
_13374_,51.68
_04775_,51.62
_05211_,51.56
_12859_,51.56
_14341_,51.56
cpuregs\[11\]\[19\],51.56
_07755_,51.54
_01859_,51.5
_05140_,51.48
_12281_,51.48
_01526_,51.4
_07526_,51.38
_02770_,51.36
_02937_,51.36
_02809_,51.34
_02846_,51.34
_03115_,51.34
_12914_,51.34
net344,51.34
_02151_,51.26
_13568_,51.26
_14478_,51.26
_11488_,51.24
_14581_,51.225
_06411_,51.22
_01808_,51.21
_10647_,51.18
_13173_,51.16
_05159_,51.14
_07980_,51.13
_10212_,51.09
_03501_,51.04
_07356_,51.02
clknet_leaf_103_clk,51.02
_02445_,51
_09644_,50.96
_07209_,50.92
_09643_,50.92
_11326_,50.92
_02402_,50.88
cpuregs\[19\]\[9\],50.86
_08366_,50.8
_09334_,50.8
_13210_,50.8
_11588_,50.795
_08434_,50.78
_07435_,50.74
_13417_,50.74
_10418_,50.73
count_cycle\[19\],50.72
_12725_,50.7
_08445_,50.695
reg_pc\[12\],50.66
_07160_,50.64
_10328_,50.64
_11577_,50.64
_06121_,50.6
_04952_,50.5
_09833_,50.46
_12863_,50.46
_11275_,50.42
_14301_,50.4
_01790_,50.38
_07520_,50.38
_04114_,50.34
_03302_,50.325
_01878_,50.32
_05336_,50.32
_02207_,50.28
_04669_,50.28
_11184_,50.28
_11908_,50.27
_02018_,50.24
_01642_,50.2
_03523_,50.2
genblk1.pcpi_mul.rs2\[27\],50.2
mem_rdata_q\[3\],50.2
_05115_,50.18
genblk1.pcpi_mul.rs2\[24\],50.08
_04111_,50.04
reg_out\[25\],50.02
_11081_,50
_11514_,50
clknet_leaf_8_clk,50
_01927_,49.96
_07353_,49.96
clknet_leaf_110_clk,49.94
_09544_,49.93
_02527_,49.92
_03193_,49.92
_04229_,49.92
_14334_,49.92
_09928_,49.9
_08599_,49.89
_07191_,49.88
_01067_,49.865
_14092_,49.86
_09454_,49.84
_14084_,49.84
_13859_,49.835
_04714_,49.82
_13503_,49.82
_03274_,49.72
_07479_,49.72
irq_pending\[5\],49.72
_02390_,49.7
_03915_,49.7
irq_pending\[0\],49.7
clknet_leaf_1_clk,49.69
alu_out\[10\],49.685
_07368_,49.68
_00619_,49.665
_09125_,49.66
_08896_,49.64
net164,49.64
_03104_,49.62
alu_out\[1\],49.605
_12272_,49.56
_06399_,49.525
_03533_,49.52
net370,49.52
_05034_,49.5
_07456_,49.49
_12312_,49.47
_03037_,49.4
_08649_,49.34
count_cycle\[16\],49.32
_01323_,49.285
_07934_,49.26
_13295_,49.26
_03826_,49.24
_12379_,49.24
_06344_,49.22
_07362_,49.22
_12095_,49.2
_13077_,49.18
_05178_,49.16
_07529_,49.14
_08756_,49.125
_03119_,49.12
_10500_,49.12
_10201_,49.06
_12719_,49.06
_13935_,49.04
_14498_,49.04
_04767_,49
count_cycle\[8\],49
alu_out\[7\],48.985
_13048_,48.98
_08400_,48.96
_02109_,48.94
_13552_,48.94
clknet_leaf_64_clk,48.92
_00103_,48.905
instr_rdcycleh,48.9
_03485_,48.86
_03646_,48.82
_04734_,48.82
_13337_,48.8
_04973_,48.79
_02979_,48.78
_07930_,48.78
_12032_,48.78
_09746_,48.76
_09858_,48.74
_12443_,48.72
_04844_,48.7
_08418_,48.7
_10850_,48.7
_13234_,48.7
_07933_,48.62
_02541_,48.58
mem_rdata_q\[2\],48.58
clknet_leaf_159_clk,48.54
_04802_,48.52
_03102_,48.48
_06804_,48.48
_09206_,48.465
_09032_,48.44
_09988_,48.42
_01943_,48.4
_11987_,48.4
_12606_,48.4
_05011_,48.36
_11554_,48.36
clknet_leaf_84_clk,48.32
_01212_,48.315
_09650_,48.26
mem_rdata_q\[13\],48.25
_02357_,48.22
_13852_,48.22
_13061_,48.13
_02736_,48.12
_07359_,48.12
_03496_,48.1
_09842_,48.06
_10033_,48.02
_00618_,48
count_cycle\[55\],47.98
_06127_,47.96
_12389_,47.96
_11734_,47.94
count_cycle\[56\],47.92
_04906_,47.9
_06139_,47.88
_01990_,47.86
_09998_,47.86
_08442_,47.85
_12714_,47.84
_14501_,47.84
_08655_,47.825
_09030_,47.78
cpuregs\[13\]\[27\],47.76
_10820_,47.74
_08406_,47.72
_09566_,47.72
count_cycle\[34\],47.71
count_cycle\[35\],47.7
_13923_,47.64
_05227_,47.635
_08984_,47.62
_04728_,47.6
_10508_,47.58
net209,47.58
_10178_,47.56
_07476_,47.54
_09051_,47.525
_13790_,47.52
clknet_leaf_196_clk,47.52
_13060_,47.5
_13064_,47.5
latched_rd\[1\],47.5
_10400_,47.48
alu_shr\[0\],47.48
_03614_,47.46
_08221_,47.46
_13993_,47.44
count_cycle\[43\],47.44
_08395_,47.38
count_cycle\[14\],47.38
_01068_,47.34
_10063_,47.34
_04222_,47.3
_09337_,47.28
_03044_,47.2
_04803_,47.16
_07873_,47.16
_09662_,47.12
_07337_,47.1
_02800_,47.07
decoded_rs1\[3\],47.02
_07577_,47
_04717_,46.98
_13235_,46.98
_06925_,46.96
_13719_,46.96
_04980_,46.9
_14651_,46.865
_13889_,46.86
_03697_,46.85
_14174_,46.82
_06569_,46.815
_09767_,46.8
_07946_,46.76
_10307_,46.76
_03832_,46.74
_04874_,46.72
_03176_,46.7
_05107_,46.7
_10819_,46.7
_12909_,46.695
_01952_,46.68
_08690_,46.67
_11065_,46.66
_04860_,46.64
alu_out\[17\],46.605
_09270_,46.6
cpu_state\[5\],46.6
latched_stalu,46.6
clknet_leaf_176_clk,46.6
_11355_,46.52
count_cycle\[42\],46.5
_13074_,46.42
_13143_,46.4
_01877_,46.36
_07499_,46.36
_14155_,46.36
_10118_,46.355
_06384_,46.32
_13647_,46.32
_10049_,46.3
_07395_,46.28
_11176_,46.28
_07229_,46.26
_11657_,46.26
_14547_,46.26
_12847_,46.22
_08154_,46.2
_10002_,46.2
_02314_,46.18
_04784_,46.14
_09275_,46.14
_10615_,46.14
_13645_,46.14
_07329_,46.08
_12351_,46
_04502_,45.96
_09048_,45.96
_07365_,45.94
_08158_,45.94
latched_is_lh,45.92
_04855_,45.915
_06215_,45.9
irq_mask\[7\],45.88
_11207_,45.86
clknet_leaf_56_clk,45.84
_04983_,45.82
_11934_,45.8
count_cycle\[32\],45.785
_04117_,45.76
_04857_,45.76
_13501_,45.76
_10979_,45.74
_12298_,45.72
_12705_,45.72
_04856_,45.69
_12723_,45.68
_12870_,45.68
_13170_,45.64
_14115_,45.62
alu_shl\[4\],45.62
_07161_,45.6
_14389_,45.6
_03305_,45.54
_12551_,45.52
count_instr\[45\],45.5
_04348_,45.46
_10407_,45.46
_08513_,45.4
_06093_,45.36
_06738_,45.36
_14323_,45.36
_07527_,45.34
_01913_,45.32
_09548_,45.3
instr_sb,45.3
timer\[28\],45.28
_07500_,45.27
cpuregs\[11\]\[29\],45.26
_03605_,45.2
_06699_,45.16
_10017_,45.16
_12889_,45.14
clknet_leaf_93_clk,45.14
_07848_,45.12
_01997_,45.1
_08685_,45.1
_13319_,45.1
alu_shl\[12\],45.08
_08140_,45.06
_02994_,45.04
_09484_,45.04
_12055_,45.02
_02902_,45
_04010_,44.98
_08377_,44.94
_09494_,44.94
_13253_,44.94
_07880_,44.935
_02674_,44.88
_07708_,44.88
_07738_,44.88
_08305_,44.88
_01612_,44.86
_11400_,44.86
_13274_,44.86
_12005_,44.82
_12300_,44.82
_08358_,44.78
alu_out_q\[18\],44.74
_11881_,44.72
alu_shr\[1\],44.72
_07488_,44.7
_12667_,44.7
_13151_,44.7
_02536_,44.68
_14509_,44.68
_01534_,44.62
_11266_,44.61
_08314_,44.6
count_instr\[51\],44.58
_04887_,44.54
_08478_,44.54
_13529_,44.52
_13099_,44.515
_12623_,44.47
_06688_,44.45
_14052_,44.44
_11397_,44.425
_04204_,44.4
_08609_,44.4
_02222_,44.38
_03814_,44.38
alu_shl\[21\],44.36
_05026_,44.345
_03811_,44.34
_12617_,44.32
_10908_,44.31
_09208_,44.3
_09798_,44.3
_05002_,44.26
_08516_,44.26
_14447_,44.26
_02871_,44.24
_03648_,44.24
_07979_,44.24
_08350_,44.24
_09231_,44.22
_12362_,44.22
irq_pending\[3\],44.2
_10244_,44.18
alu_out\[11\],44.165
_10266_,44.15
_07559_,44.14
_11920_,44.14
_11200_,44.1
_13333_,44.1
_01706_,44.02
_06511_,44.01
_11919_,44
_14481_,43.96
_02530_,43.92
_06762_,43.92
_09807_,43.92
_06159_,43.9
_09481_,43.9
_02237_,43.88
_09350_,43.88
_09867_,43.88
_01960_,43.86
_09834_,43.84
_04881_,43.82
_06169_,43.82
_13254_,43.8
_13610_,43.8
_08486_,43.76
_11069_,43.76
_06149_,43.7
_01705_,43.68
clknet_leaf_22_clk,43.68
_02806_,43.66
_05666_,43.66
_04878_,43.65
_12284_,43.64
_12441_,43.62
_13571_,43.6
_10041_,43.56
alu_shl\[19\],43.54
_03983_,43.52
_09871_,43.52
_02295_,43.46
_03545_,43.46
_07331_,43.44
_03896_,43.42
count_instr\[35\],43.42
clknet_leaf_37_clk,43.42
_10924_,43.4
_13067_,43.4
_10699_,43.38
_13201_,43.38
_07563_,43.35
_02729_,43.34
_13969_,43.34
_09404_,43.32
instr_getq,43.32
_04272_,43.31
_13297_,43.3
_08415_,43.28
_08678_,43.28
_10862_,43.26
_13168_,43.26
_08642_,43.175
_04393_,43.16
_07478_,43.16
_10917_,43.16
_04193_,43.14
_03362_,43.13
_05157_,43.1
_09500_,43.06
_11829_,43.02
_10336_,43
clknet_leaf_136_clk,43
_11567_,42.98
_14326_,42.98
_02254_,42.96
_09654_,42.96
_13753_,42.96
net207,42.96
_11396_,42.92
_05242_,42.9
count_cycle\[4\],42.885
_01631_,42.88
_07482_,42.86
_08292_,42.86
_11198_,42.86
_11410_,42.84
reg_pc\[6\],42.82
_14567_,42.78
_12524_,42.76
count_instr\[52\],42.76
_02381_,42.72
_11516_,42.7
_03589_,42.66
_10860_,42.64
_14089_,42.64
_08662_,42.62
_09629_,42.62
_02599_,42.58
alu_out_q\[19\],42.58
_14517_,42.56
_07673_,42.54
_12481_,42.5
_12390_,42.48
count_cycle\[15\],42.48
_08023_,42.46
_01622_,42.44
_11895_,42.43
_06490_,42.42
_13209_,42.42
_07181_,42.4
_03261_,42.38
_11257_,42.32
_02503_,42.3
_12936_,42.3
_02679_,42.28
_01788_,42.26
_13450_,42.26
count_instr\[2\],42.26
_14589_,42.245
_06347_,42.24
_09009_,42.24
_09378_,42.22
_14576_,42.145
_11945_,42.14
_13149_,42.14
_02389_,42.12
_05554_,42.08
_06209_,42.07
_03120_,42.04
_05043_,42.04
_02795_,42.02
_07850_,42.02
_07415_,41.98
_13686_,41.96
_01955_,41.94
_09572_,41.94
_04219_,41.88
_11985_,41.87
_12673_,41.86
_04541_,41.82
_09646_,41.82
_12464_,41.82
_04214_,41.8
_02914_,41.72
_12920_,41.72
_08665_,41.7
_11239_,41.68
_13368_,41.64
_04956_,41.62
_02112_,41.6
_07553_,41.6
_01638_,41.58
_12826_,41.58
_04880_,41.565
count_cycle\[7\],41.56
_03027_,41.54
_09695_,41.54
_09980_,41.5
_13418_,41.48
_02511_,41.46
_07741_,41.46
_02460_,41.44
genblk1.pcpi_mul.rs2\[13\],41.44
_04518_,41.42
_09451_,41.42
_11348_,41.42
_11739_,41.42
_12953_,41.41
_14060_,41.4
_09778_,41.34
_12180_,41.34
_11697_,41.32
clknet_leaf_225_clk,41.32
_04689_,41.3
clknet_leaf_195_clk,41.3
_10148_,41.28
_04042_,41.26
_12460_,41.26
_11188_,41.24
_09603_,41.22
_10074_,41.22
_12342_,41.22
_07671_,41.2
_11528_,41.2
_12608_,41.2
_03741_,41.16
alu_out\[16\],41.16
net206,41.16
_09718_,41.12
_11983_,41.12
cpuregs\[3\]\[20\],41.12
cpuregs\[3\]\[22\],41.12
_03736_,41.1
_07831_,41.1
_10025_,41.1
_13219_,41.07
_02744_,41.04
_09916_,41.04
_04707_,41.02
_08212_,41.02
_14619_,41.02
_01944_,41
_14167_,41
clknet_leaf_133_clk,41
_01934_,40.98
_07502_,40.98
_08653_,40.98
_14483_,40.98
_04927_,40.96
_04744_,40.925
_09160_,40.92
_11394_,40.92
_03154_,40.9
_06135_,40.9
_01785_,40.88
_04929_,40.86
_12876_,40.86
_03563_,40.84
_06291_,40.84
_10771_,40.82
clknet_leaf_214_clk,40.8
_02076_,40.78
_10674_,40.76
_12720_,40.72
_01916_,40.7
_09841_,40.7
clknet_leaf_198_clk,40.68
_04095_,40.665
_03155_,40.66
_12727_,40.66
_13537_,40.6
_02320_,40.56
_02400_,40.54
_13249_,40.54
_02292_,40.52
_04208_,40.46
_10004_,40.46
_08354_,40.44
_05012_,40.42
_04959_,40.38
_06305_,40.38
_10501_,40.38
_04892_,40.36
_00056_,40.345
_13621_,40.34
_03116_,40.32
_04982_,40.32
_06145_,40.26
_06568_,40.24
_09198_,40.24
clknet_leaf_46_clk,40.24
_03993_,40.2
_14238_,40.2
_06801_,40.14
_01550_,40.12
_11217_,40.12
_09217_,40.1
_12797_,40.1
_13165_,40.1
_10394_,40.08
_06249_,40.06
_07341_,40.04
_08022_,40.02
_12333_,40.02
count_cycle\[57\],40
_02802_,39.98
_14459_,39.98
_14601_,39.98
_08645_,39.975
_14360_,39.97
_07422_,39.94
_10986_,39.94
_04381_,39.9
_13010_,39.9
_12381_,39.88
_08318_,39.86
mem_rdata_q\[0\],39.86
_08497_,39.84
_11202_,39.84
reg_pc\[11\],39.84
_07776_,39.79
_09274_,39.78
_10381_,39.78
_12754_,39.78
_07926_,39.76
instr_bge,39.76
_02393_,39.74
_10324_,39.74
_02040_,39.72
_08416_,39.72
_11469_,39.7
_11957_,39.7
count_cycle\[20\],39.66
_11976_,39.64
cpuregs\[13\]\[22\],39.64
_02370_,39.62
_04950_,39.62
_05018_,39.62
_05538_,39.62
_13413_,39.62
_13982_,39.57
_04958_,39.56
count_cycle\[29\],39.54
cpuregs\[17\]\[20\],39.54
_09020_,39.48
_11614_,39.48
genblk1.pcpi_mul.rs1\[16\],39.48
_12245_,39.46
instr_sw,39.46
_12833_,39.42
_14146_,39.42
_13372_,39.4
_04216_,39.38
_04785_,39.365
_03725_,39.36
irq_pending\[18\],39.34
_12508_,39.32
_04897_,39.28
_13781_,39.24
_04285_,39.22
_09464_,39.22
_02321_,39.16
_02650_,39.16
_12397_,39.16
_13344_,39.16
_13811_,39.16
_13094_,39.14
_04828_,39.12
_11904_,39.1
_04711_,39.08
latched_is_lb,39.08
clknet_leaf_197_clk,39.04
_11861_,39
_13643_,38.98
_06366_,38.92
_02325_,38.88
_02180_,38.86
_09665_,38.86
_06118_,38.82
_02084_,38.78
_04363_,38.78
_08871_,38.78
_12944_,38.76
_05003_,38.745
_06155_,38.74
alu_shl\[2\],38.74
count_instr\[49\],38.74
_07770_,38.7
_08403_,38.68
_12601_,38.68
_12759_,38.68
net208,38.68
count_instr\[17\],38.67
